epoch,step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,val_f1,val_loss
0,7,,,,,0.1890469193458557,2.2676124572753906
0,7,0.17685388028621674,,1.6205676794052124,,,
1,15,,,,,0.2628907263278961,1.568894624710083
1,15,0.22992472350597382,,1.5592070817947388,,,
2,23,,,,,0.23594938218593597,1.6459989547729492
2,23,0.2470613718032837,,1.533017873764038,,,
3,31,,,,,0.26367971301078796,1.5315800905227661
3,31,0.21325190365314484,,1.5416029691696167,,,
4,39,,,,,0.3308529555797577,1.497995138168335
4,39,0.22727054357528687,,1.5393458604812622,,,
5,47,,,,,0.21585114300251007,1.6565659046173096
5,47,0.22680719196796417,,1.5313552618026733,,,
6,49,,0.22112496197223663,,1.5386959314346313,,
6,55,,,,,0.24648529291152954,1.5531787872314453
6,55,0.2336951345205307,,1.5413838624954224,,,
7,63,,,,,0.2779412567615509,1.5323599576950073
7,63,0.20944096148014069,,1.5289409160614014,,,
8,71,,,,,0.3637840449810028,1.4910582304000854
8,71,0.25625357031822205,,1.5156687498092651,,,
9,79,,,,,0.2362213283777237,1.554658055305481
9,79,0.2648690342903137,,1.5090690851211548,,,
10,87,,,,,0.24789205193519592,1.5394351482391357
10,87,0.25945204496383667,,1.5173487663269043,,,
11,95,,,,,0.2714676856994629,1.5214762687683105
11,95,0.24879387021064758,,1.5217781066894531,,,
12,99,,0.29773783683776855,,1.4537463188171387,,
12,103,,,,,0.30501359701156616,1.5277637243270874
12,103,0.26908716559410095,,1.493289589881897,,,
13,111,,,,,0.2805348336696625,1.5245747566223145
13,111,0.23641788959503174,,1.5209197998046875,,,
14,119,,,,,0.2925903797149658,1.517843246459961
14,119,0.27501749992370605,,1.4972304105758667,,,
15,127,,,,,0.30298885703086853,1.5299757719039917
15,127,0.25882604718208313,,1.500230073928833,,,
16,135,,,,,0.277955025434494,1.5477033853530884
16,135,0.27168917655944824,,1.4788159132003784,,,
17,143,,,,,0.3250839114189148,1.5365785360336304
17,143,0.2788630723953247,,1.4848958253860474,,,
18,149,,0.21882566809654236,,1.5381640195846558,,
18,151,,,,,0.2742893695831299,1.5367074012756348
18,151,0.2611682415008545,,1.4868446588516235,,,
19,159,,,,,0.25846853852272034,1.5466004610061646
19,159,0.25661391019821167,,1.5026220083236694,,,
20,167,,,,,0.31700924038887024,1.5923155546188354
20,167,0.2670349180698395,,1.5078270435333252,,,
21,175,,,,,0.2930818200111389,1.5171083211898804
21,175,0.26679277420043945,,1.4829548597335815,,,
22,183,,,,,0.24459566175937653,1.586937665939331
22,183,0.2889655530452728,,1.4981787204742432,,,
23,191,,,,,0.2766362428665161,1.540320634841919
23,191,0.25592392683029175,,1.489660620689392,,,
24,199,,0.23595838248729706,,1.4833744764328003,,
24,199,,,,,0.2734854221343994,1.48642897605896
24,199,0.272504985332489,,1.4798839092254639,,,
25,207,,,,,0.3076765537261963,1.5391812324523926
25,207,0.281628280878067,,1.4856971502304077,,,
26,215,,,,,0.27049520611763,1.5254778861999512
26,215,0.27919191122055054,,1.4688671827316284,,,
27,223,,,,,0.32071617245674133,1.493891954421997
27,223,0.271312952041626,,1.4723507165908813,,,
28,231,,,,,0.28312164545059204,1.548511028289795
28,231,0.27280718088150024,,1.4781162738800049,,,
29,239,,,,,0.2810206115245819,1.5084694623947144
29,239,0.2628879249095917,,1.4718235731124878,,,
30,247,,,,,0.24481914937496185,1.559498906135559
30,247,0.2485085278749466,,1.479504108428955,,,
31,249,,0.26070553064346313,,1.4639326333999634,,
31,255,,,,,0.2644517719745636,1.4809598922729492
31,255,0.27062416076660156,,1.4604610204696655,,,
32,263,,,,,0.3034021854400635,1.5412825345993042
32,263,0.24876396358013153,,1.4664645195007324,,,
33,271,,,,,0.3065996766090393,1.5181052684783936
33,271,0.2775595784187317,,1.4803839921951294,,,
34,279,,,,,0.25005006790161133,1.5029906034469604
34,279,0.2769607901573181,,1.4814739227294922,,,
35,287,,,,,0.2684192359447479,1.5690288543701172
35,287,0.2645722031593323,,1.472692847251892,,,
36,295,,,,,0.2737279534339905,1.5892369747161865
36,295,0.28572502732276917,,1.4667954444885254,,,
37,299,,0.30208730697631836,,1.4858136177062988,,
37,303,,,,,0.22388634085655212,1.543583631515503
37,303,0.298274427652359,,1.4630508422851562,,,
38,311,,,,,0.34853678941726685,1.5285844802856445
