feature,min,max
EO_m_frontal_delta_skew,-1.993115914,5.385556023
EO_r_posterior_beta_mean,-1.890104027,5.379165996
EO_r_posterior_beta_median,-1.890104027,5.379165996
EC_r_frontal_theta_skew,-2.163321896,5.377363686
EC_l_frontal_alpha_skew,-2.80343459,5.375892528
EC_l_central_beta_mean,-1.772863736,5.368347398
EC_l_central_beta_median,-1.772863736,5.368347398
EO_l_posterior_theta_skew,-2.08512957,5.354202969
EC_r_posterior_beta_skew,-2.265100249,5.349393054
EO_m_posterior_alpha_kurt,-1.250492844,5.346695913
EC_m_central_delta_skew,-2.047476709,5.342146125
EC_r_central_beta_skew,-2.433394247,5.324410083
EC_r_posterior_gamma_skew,-1.759509626,5.322214627
EO_l_posterior_beta_mean,-1.896725723,5.303025214
EO_l_posterior_beta_median,-1.896725723,5.303025214
EC_l_central_theta_skew,-2.241427947,5.293434442
EC_m_frontal_gamma_skew,-1.717913143,5.279633988
EO_m_posterior_gamma_skew,-1.806003371,5.26320158
EC_m_central_theta_skew,-2.154241324,5.256645471
EC_l_central_gamma_skew,-1.632813035,5.246186669
EO_r_central_alpha_kurt,-1.216191275,5.241422015
EC_m_frontal_beta_skew,-2.130297091,5.218014085
EC_l_central_delta_skew,-2.224813322,5.216274862
EO_m_central_gamma_skew,-1.756952723,5.209204411
EC_m_posterior_beta_skew,-2.589213178,5.205564532
EO_l_posterior_gamma_skew,-1.672686663,5.199775636
EO_l_central_gamma_skew,-1.903546129,5.193712544
EC_l_central_beta_skew,-2.072834403,5.145539182
EC_l_frontal_gamma_skew,-1.5713138,5.13238574
EO_r_frontal_delta_skew,-1.965054791,5.132128529
EO_m_central_beta_mean,-1.678396223,5.110117899
EO_m_central_beta_median,-1.678396223,5.110117899
EC_m_frontal_theta_skew,-2.20824193,5.108585052
EO_l_frontal_gamma_skew,-1.622245081,5.095928351
EO_l_frontal_delta_skew,-1.95691606,5.079262341
EC_l_frontal_theta_skew,-2.107363054,5.035618229
EO_r_posterior_gamma_skew,-1.622832273,5.02157857
EC_r_posterior_delta_skew,-2.432722186,5.020596454
EC_r_central_delta_skew,-2.127150042,5.010773893
EC_l_frontal_beta_skew,-2.188548147,4.992318501
EC_r_central_theta_skew,-2.209912376,4.968480185
EO_r_central_beta_mean,-1.700130404,4.944038482
EO_r_central_beta_median,-1.700130404,4.944038482
EC_m_frontal_delta_skew,-2.035810843,4.922825997
EO_m_frontal_gamma_skew,-1.837885818,4.8892144
EO_r_central_gamma_skew,-1.538297095,4.871228912
EC_r_frontal_alpha_skew,-2.504638428,4.848032544
EO_m_frontal_beta_skew,-2.23376573,4.831733459
EO_r_frontal_gamma_skew,-1.670338244,4.785779911
EC_r_central_alpha_skew,-2.265221693,4.772477769
EC_m_frontal_alpha_skew,-2.837673118,4.768784468
EO_l_central_beta_skew,-2.252489262,4.703431864
EC_r_frontal_delta_skew,-2.073594308,4.675776263
EO_m_posterior_beta_skew,-2.41767491,4.605269291
EC_l_frontal_delta_skew,-2.022430232,4.598796585
EC_l_central_alpha_skew,-2.435430157,4.586720558
EO_l_frontal_beta_skew,-2.196103336,4.577371125
EO_l_posterior_beta_skew,-2.378328797,4.57483807
EO_m_central_theta_mean,-4.226300173,4.563620458
EO_m_central_theta_median,-4.226300173,4.563620458
EC_r_frontal_delta_mean,-2.246751914,4.52756766
EC_r_frontal_delta_median,-2.246751914,4.52756766
EO_r_frontal_beta_skew,-2.399948371,4.52377223
EO_m_frontal_theta_mean,-4.116268386,4.51951178
EO_m_frontal_theta_median,-4.116268386,4.51951178
EC_m_posterior_alpha_skew,-2.684248306,4.493340657
EC_m_central_alpha_skew,-2.616220321,4.490857672
EO_m_frontal_alpha_skew,-2.231746972,4.477601655
EC_r_posterior_alpha_skew,-2.625040495,4.435460791
EO_l_posterior_alpha_skew,-2.437323539,4.374576918
EC_l_posterior_alpha_skew,-2.660235777,4.362728704
EC_l_posterior_delta_mean,-1.856791045,4.341713166
EC_l_posterior_delta_median,-1.856791045,4.341713166
EO_l_frontal_alpha_skew,-2.143908519,4.324656201
EC_l_frontal_delta_mean,-2.326508917,4.316612563
EC_l_frontal_delta_median,-2.326508917,4.316612563
EO_r_frontal_alpha_skew,-1.946722954,4.304098348
EO_r_posterior_alpha_skew,-2.291498304,4.214510327
EO_m_posterior_alpha_skew,-2.216343645,4.213125615
EC_m_frontal_theta_mean,-3.312860747,4.209298693
EC_m_frontal_theta_median,-3.312860747,4.209298693
EO_m_frontal_alpha_mean,-2.076889419,4.195301859
EO_m_frontal_alpha_median,-2.076889419,4.195301859
EO_l_central_alpha_skew,-2.245243103,4.182996099
EO_r_central_alpha_skew,-2.263016247,4.134874455
EO_r_frontal_theta_mean,-4.327224282,4.114433353
EO_r_frontal_theta_median,-4.327224282,4.114433353
EC_m_posterior_delta_mean,-1.917378801,4.053560273
EC_m_posterior_delta_median,-1.917378801,4.053560273
EO_m_central_alpha_mean,-1.96533562,4.020838536
EO_m_central_alpha_median,-1.96533562,4.020838536
EO_l_posterior_theta_mean,-3.778727508,4.014336684
EO_l_posterior_theta_median,-3.778727508,4.014336684
EO_l_frontal_alpha_mean,-2.177312171,3.979871568
EO_l_frontal_alpha_median,-2.177312171,3.979871568
EO_r_frontal_alpha_mean,-2.180220606,3.97970949
EO_r_frontal_alpha_median,-2.180220606,3.97970949
EC_r_posterior_delta_mean,-1.825598862,3.911170777
EC_r_posterior_delta_median,-1.825598862,3.911170777
EC_l_central_delta_mean,-2.020736931,3.872219557
EC_l_central_delta_median,-2.020736931,3.872219557
EO_l_central_theta_mean,-4.296120921,3.871900336
EO_l_central_theta_median,-4.296120921,3.871900336
EC_r_frontal_theta_mean,-3.307891634,3.862968663
EC_r_frontal_theta_median,-3.307891634,3.862968663
EO_m_posterior_theta_mean,-4.498063126,3.852371164
EO_m_posterior_theta_median,-4.498063126,3.852371164
EO_l_central_alpha_mean,-1.962318298,3.803434674
EO_l_central_alpha_median,-1.962318298,3.803434674
EO_m_posterior_alpha_mean,-1.928248151,3.792494015
EO_m_posterior_alpha_median,-1.928248151,3.792494015
EO_l_frontal_theta_mean,-5.35796271,3.772119039
EO_l_frontal_theta_median,-5.35796271,3.772119039
EO_r_posterior_theta_mean,-4.32272699,3.749293981
EO_r_posterior_theta_median,-4.32272699,3.749293981
EO_r_central_theta_mean,-3.784449457,3.741034749
EO_r_central_theta_median,-3.784449457,3.741034749
EO_r_posterior_alpha_mean,-1.892480978,3.645561713
EO_r_posterior_alpha_median,-1.892480978,3.645561713
EC_r_central_delta_mean,-2.051604954,3.629248604
EC_r_central_delta_median,-2.051604954,3.629248604
EO_l_frontal_delta_mean,-2.954254597,3.62055836
EO_l_frontal_delta_median,-2.954254597,3.62055836
EO_r_central_alpha_mean,-1.989325624,3.596741471
EO_r_central_alpha_median,-1.989325624,3.596741471
EC_m_central_delta_mean,-2.123059515,3.592160794
EC_m_central_delta_median,-2.123059515,3.592160794
EC_l_frontal_theta_mean,-3.280379496,3.532173433
EC_l_frontal_theta_median,-3.280379496,3.532173433
EC_m_frontal_delta_mean,-2.24628577,3.459409487
EC_m_frontal_delta_median,-2.24628577,3.459409487
EO_l_posterior_alpha_mean,-1.962364474,3.456158313
EO_l_posterior_alpha_median,-1.962364474,3.456158313
EO_r_frontal_delta_mean,-2.862093427,3.359650022
EO_r_frontal_delta_median,-2.862093427,3.359650022
EO_m_posterior_delta_mean,-2.867026553,3.348095327
EO_m_posterior_delta_median,-2.867026553,3.348095327
EC_m_central_theta_mean,-3.449304545,3.326382245
EC_m_central_theta_median,-3.449304545,3.326382245
EO_m_frontal_delta_mean,-2.971978894,3.242735404
EO_m_frontal_delta_median,-2.971978894,3.242735404
EC_r_central_theta_mean,-3.178475522,3.237627914
EC_r_central_theta_median,-3.178475522,3.237627914
EC_m_posterior_theta_mean,-2.993134244,3.224561031
EC_m_posterior_theta_median,-2.993134244,3.224561031
EC_l_central_theta_mean,-3.195554869,3.175107124
EC_l_central_theta_median,-3.195554869,3.175107124
EO_r_central_delta_mean,-2.68034897,3.150247948
EO_r_central_delta_median,-2.68034897,3.150247948
EC_l_posterior_theta_mean,-2.772171887,3.131816403
EC_l_posterior_theta_median,-2.772171887,3.131816403
EO_l_central_delta_mean,-2.741353827,3.085062371
EO_l_central_delta_median,-2.741353827,3.085062371
EC_r_posterior_theta_mean,-2.761880743,3.0775281
EC_r_posterior_theta_median,-2.761880743,3.0775281
EC_r_frontal_alpha_mean,-2.695578899,3.071913663
EC_r_frontal_alpha_median,-2.695578899,3.071913663
EO_l_posterior_delta_mean,-2.737470241,3.031877414
EO_l_posterior_delta_median,-2.737470241,3.031877414
EC_l_frontal_alpha_mean,-2.62630795,3.0317418
EC_l_frontal_alpha_median,-2.62630795,3.0317418
EO_r_posterior_delta_mean,-2.788397603,3.011676575
EO_r_posterior_delta_median,-2.788397603,3.011676575
EC_m_frontal_alpha_mean,-2.497462517,2.989127869
EC_m_frontal_alpha_median,-2.497462517,2.989127869
EO_m_central_delta_mean,-3.029799818,2.815164303
EO_m_central_delta_median,-3.029799818,2.815164303
EC_m_central_alpha_mean,-2.50693185,2.683374431
EC_m_central_alpha_median,-2.50693185,2.683374431
EC_r_central_alpha_mean,-2.563690331,2.639942505
EC_r_central_alpha_median,-2.563690331,2.639942505
EC_l_central_alpha_mean,-2.607182958,2.592792025
EC_l_central_alpha_median,-2.607182958,2.592792025
EC_l_posterior_alpha_mean,-2.778591859,2.409088177
EC_l_posterior_alpha_median,-2.778591859,2.409088177
EC_m_posterior_alpha_mean,-2.655028963,2.352897159
EC_m_posterior_alpha_median,-2.655028963,2.352897159
EC_r_posterior_alpha_mean,-2.750989903,2.145728538
EC_r_posterior_alpha_median,-2.750989903,2.145728538
