feature,min,max
ratio_r_frontal_theta_std,-1.238565716,20.27770003
EO_r_central_beta_std,-1.382151763,20.19390128
ratio_r_frontal_delta_std,-0.901982775,20.17864664
ratio_m_frontal_beta_mean,-1.862976156,20.0851155
ratio_l_posterior_beta_kurt,-0.549729019,20.08382864
EC_r_posterior_gamma_std,-0.490953151,20.01569109
ratio_r_frontal_beta_kurt,-0.564787414,19.94869917
ratio_l_frontal_gamma_kurt,-0.595346733,19.86393981
ratio_r_central_theta_median,-3.337704534,19.84318776
ratio_l_frontal_theta_std,-1.216307656,19.75013117
ratio_m_posterior_theta_kurt,-0.705655496,19.7497835
ratio_l_frontal_theta_kurt,-0.796515977,19.64396652
ratio_r_frontal_gamma_kurt,-0.483324542,19.6432903
ratio_l_posterior_gamma_median,-0.937048413,19.05783329
ratio_m_central_theta_median,-3.383425157,18.97914894
ratio_m_posterior_gamma_kurt,-0.468817458,18.91484897
ratio_m_central_alpha_kurt,-0.797389885,18.85316333
ratio_r_posterior_gamma_median,-0.911202694,18.8270717
ratio_m_central_beta_kurt,-0.594299125,18.65413388
ratio_l_posterior_gamma_kurt,-0.507433578,18.37235959
EC_l_central_theta_std,-1.972703205,18.34560536
EC_r_central_theta_std,-1.979157731,18.28963904
ratio_l_frontal_gamma_median,-0.938057384,18.03135166
ratio_l_frontal_delta_median,-2.404944083,18.00025111
EC_l_frontal_theta_std,-1.878839843,17.97236668
EO_m_posterior_gamma_std,-0.553800558,17.88130139
EC_r_frontal_theta_std,-1.8103509,17.76839845
EC_m_central_theta_std,-1.942013106,17.71769556
ratio_l_frontal_delta_mean,-1.597251689,17.54603073
ratio_r_frontal_theta_mean,-2.067639458,17.44998867
EO_m_central_theta_std,-2.000112791,17.39344799
EC_m_frontal_theta_std,-1.875421735,17.21145916
EO_l_central_theta_std,-2.112208131,17.20360329
ratio_r_posterior_gamma_kurt,-0.505659841,17.14700493
ratio_l_posterior_theta_median,-2.858156475,17.02311874
ratio_m_central_beta_std,-1.330266021,16.92377268
ratio_l_central_beta_std,-1.220179333,16.83694642
EC_l_frontal_beta_std,-1.533884543,16.62796622
EO_m_central_delta_std,-2.090449634,16.58767414
ratio_m_frontal_alpha_mean,-1.766715113,16.51493603
EO_m_frontal_gamma_mean,-0.744665627,16.43245806
EO_m_frontal_gamma_median,-0.744665627,16.43245806
ratio_m_frontal_gamma_median,-1.006141526,16.42478565
EC_m_central_gamma_mean,-0.570523134,16.05739495
EC_m_central_gamma_median,-0.570523134,16.05739495
ratio_m_frontal_theta_mean,-2.164766563,15.94305093
EO_m_central_gamma_kurt,-0.86374994,15.93341157
EO_l_frontal_gamma_mean,-0.743916322,15.80818278
EO_l_frontal_gamma_median,-0.743916322,15.80818278
ratio_r_posterior_theta_mean,-2.221569937,15.77102939
ratio_r_posterior_beta_std,-1.271265795,15.76345994
ratio_l_frontal_beta_std,-1.206262301,15.72843053
ratio_l_frontal_beta_median,-1.968661538,15.7060968
EC_m_frontal_gamma_mean,-0.59875855,15.62878031
EC_m_frontal_gamma_median,-0.59875855,15.62878031
EO_r_central_theta_std,-2.107479208,15.55119275
ratio_r_central_theta_kurt,-0.792036028,15.51117533
ratio_r_central_alpha_mean,-1.932757429,15.51038343
ratio_m_frontal_theta_skew,-1.55908322,15.41683821
ratio_l_posterior_alpha_mean,-1.946537522,15.3757898
ratio_r_central_delta_median,-2.17790457,15.30015983
ratio_l_central_theta_skew,-1.670318813,15.16071129
ratio_l_frontal_beta_mean,-1.866293973,15.1201859
ratio_l_posterior_alpha_median,-2.096722572,15.11792897
ratio_m_central_gamma_median,-1.019612885,15.05461143
EO_l_frontal_theta_std,-2.074522526,15.03596794
ratio_l_frontal_alpha_skew,-1.787045812,15.03516816
ratio_l_central_alpha_std,-1.406881239,14.93981256
ratio_l_central_theta_median,-3.321117617,14.7163192
ratio_r_frontal_alpha_mean,-1.747447774,14.71070866
EO_l_central_gamma_mean,-0.690867968,14.64743192
EO_l_central_gamma_median,-0.690867968,14.64743192
ratio_r_central_alpha_std,-1.340796054,14.64665854
ratio_r_central_theta_mean,-2.222358336,14.62879902
EO_r_frontal_theta_std,-2.128255437,14.51129227
ratio_m_frontal_theta_std,-1.267967095,14.45675629
ratio_m_central_theta_mean,-2.32729969,14.41852053
EC_l_frontal_gamma_mean,-0.657102302,14.31280951
EC_l_frontal_gamma_median,-0.657102302,14.31280951
EO_l_posterior_theta_std,-2.115860906,14.2799532
ratio_m_central_delta_median,-2.124595334,14.18281334
EO_m_frontal_theta_std,-1.895343389,14.1704003
ratio_m_posterior_beta_skew,-1.440796171,14.1008372
ratio_m_frontal_beta_skew,-1.509836268,13.98705413
ratio_l_frontal_alpha_std,-1.303182018,13.94074368
ratio_l_central_gamma_median,-0.90891761,13.86248783
ratio_l_central_beta_skew,-1.373639246,13.68308775
ratio_m_frontal_gamma_skew,-1.342819728,13.61767492
ratio_r_posterior_alpha_std,-1.383880126,13.52857585
EO_r_posterior_delta_std,-2.060214197,13.52172455
ratio_m_frontal_delta_median,-2.371405586,13.48428303
EO_l_posterior_delta_std,-2.006540728,13.47319562
EO_m_posterior_theta_std,-2.36487675,13.43173108
ratio_r_frontal_alpha_median,-2.015432921,13.42018837
ratio_r_central_beta_skew,-1.523135763,13.39406264
ratio_m_frontal_delta_mean,-1.67542863,13.35696606
EO_m_posterior_delta_std,-2.066666619,13.31040815
ratio_l_central_theta_mean,-2.259895676,13.29400591
EC_l_central_beta_std,-1.609154457,13.2590668
ratio_l_central_beta_mean,-2.00089845,13.02721605
ratio_r_frontal_delta_mean,-1.695918349,12.98377045
ratio_l_central_gamma_skew,-1.330152062,12.96129935
ratio_m_posterior_alpha_skew,-1.7557586,12.93790968
ratio_r_central_gamma_skew,-1.440328283,12.82640504
ratio_l_posterior_alpha_std,-1.359908782,12.76088416
ratio_m_frontal_delta_std,-1.002585356,12.76010948
EC_r_central_gamma_mean,-0.598432803,12.75679862
EC_r_central_gamma_median,-0.598432803,12.75679862
ratio_r_frontal_alpha_skew,-1.538414056,12.71204561
ratio_l_central_alpha_skew,-1.76563863,12.6911824
ratio_m_frontal_alpha_std,-1.316936404,12.6776716
ratio_m_central_gamma_skew,-1.384528485,12.66138842
ratio_r_central_alpha_skew,-1.894947801,12.65210911
ratio_m_central_delta_kurt,-0.732582041,12.61006332
ratio_l_posterior_delta_mean,-1.70225077,12.6090446
ratio_l_posterior_theta_mean,-2.285969118,12.60616419
ratio_l_central_delta_median,-2.304042067,12.57524349
ratio_m_central_alpha_median,-2.072386783,12.50657185
ratio_m_central_theta_skew,-1.479825936,12.48504962
ratio_r_frontal_gamma_skew,-1.356176752,12.48474337
ratio_m_central_delta_mean,-1.815300077,12.47036041
ratio_m_frontal_delta_kurt,-0.738043581,12.40195465
ratio_l_central_beta_median,-2.185972953,12.31940354
ratio_m_posterior_gamma_skew,-1.338836211,12.26125442
ratio_l_posterior_theta_skew,-1.465130168,12.20103863
ratio_l_frontal_beta_skew,-1.371949018,12.17201376
ratio_l_posterior_theta_std,-1.448412808,12.16062175
EO_m_central_gamma_mean,-0.754062924,12.14607301
EO_m_central_gamma_median,-0.754062924,12.14607301
ratio_r_frontal_beta_skew,-1.374461229,12.1260728
EC_r_frontal_gamma_mean,-0.659770004,12.11367595
EC_r_frontal_gamma_median,-0.659770004,12.11367595
ratio_l_posterior_beta_skew,-1.375217793,12.10075572
EC_r_posterior_gamma_mean,-0.60866021,12.09048725
EC_r_posterior_gamma_median,-0.60866021,12.09048725
ratio_r_posterior_beta_skew,-1.486687465,12.08808974
ratio_r_frontal_delta_kurt,-0.721979652,12.08688795
ratio_r_posterior_alpha_mean,-1.932746372,12.07038068
ratio_m_posterior_delta_kurt,-0.722295972,12.03776672
ratio_r_central_delta_mean,-1.753363958,12.02828513
ratio_r_central_delta_kurt,-0.712386651,11.98032582
ratio_l_frontal_alpha_median,-2.028578591,11.97269656
ratio_r_frontal_theta_skew,-1.542037429,11.9357267
EC_m_central_delta_std,-1.696473463,11.92054988
EC_m_posterior_gamma_mean,-0.620262371,11.91105838
EC_m_posterior_gamma_median,-0.620262371,11.91105838
EC_l_central_gamma_mean,-0.610316201,11.84535834
EC_l_central_gamma_median,-0.610316201,11.84535834
ratio_l_central_delta_kurt,-0.731370892,11.83764759
EC_r_frontal_beta_kurt,-1.073331038,11.83396485
ratio_r_posterior_theta_skew,-1.602240262,11.81018063
EO_l_central_delta_std,-1.866587851,11.77651886
EC_l_posterior_theta_kurt,-1.157015907,11.73833162
EC_l_posterior_gamma_mean,-0.603661509,11.71890878
EC_l_posterior_gamma_median,-0.603661509,11.71890878
ratio_r_posterior_beta_median,-2.104928559,11.63415795
ratio_m_frontal_alpha_skew,-1.782361372,11.5197835
EC_r_posterior_delta_std,-1.441861204,11.511145
EC_r_posterior_beta_std,-1.589216633,11.50230237
ratio_l_posterior_gamma_skew,-1.295107455,11.49172222
ratio_l_posterior_alpha_skew,-1.772178924,11.46391685
ratio_l_frontal_delta_kurt,-0.729793497,11.45454559
ratio_l_frontal_gamma_skew,-1.41142053,11.42377973
EC_l_posterior_delta_std,-1.432488089,11.42075422
EC_m_posterior_theta_kurt,-1.183191001,11.4142869
ratio_l_posterior_beta_mean,-2.030855645,11.3682335
ratio_r_posterior_alpha_skew,-1.677377474,11.3306144
EC_r_posterior_theta_kurt,-1.139326887,11.23842471
EC_m_posterior_delta_std,-1.484823307,11.22904854
EO_r_posterior_theta_std,-2.325954231,11.2246688
ratio_m_central_beta_skew,-1.378580713,11.20938754
ratio_r_posterior_delta_kurt,-0.654821098,11.07396724
ratio_r_posterior_gamma_skew,-1.32874275,11.01443921
EC_l_central_delta_std,-1.581995751,10.98462047
ratio_m_posterior_theta_skew,-1.505795284,10.90516037
EC_r_central_delta_std,-1.580588411,10.88129329
EO_m_frontal_delta_std,-1.790758273,10.86078412
ratio_l_frontal_alpha_mean,-1.735909055,10.81738759
ratio_l_posterior_delta_median,-1.958793554,10.79203318
ratio_m_central_alpha_mean,-1.914791596,10.77483538
ratio_r_posterior_alpha_median,-2.083776528,10.73731743
EC_m_frontal_delta_std,-1.626531447,10.72853525
ratio_l_posterior_delta_kurt,-0.694667299,10.71055936
EO_m_central_beta_kurt,-1.140757194,10.70596636
EO_l_frontal_alpha_std,-1.463227656,10.65860276
EC_r_frontal_delta_std,-1.488571169,10.5796883
ratio_l_frontal_theta_skew,-1.638272179,10.55975369
ratio_m_central_alpha_std,-1.38594651,10.50710492
EO_r_central_gamma_mean,-0.719469168,10.30244697
EO_r_central_gamma_median,-0.719469168,10.30244697
ratio_r_posterior_theta_median,-2.873700679,10.17678239
ratio_r_central_alpha_median,-2.151695876,10.11087877
ratio_m_central_beta_median,-2.054959763,10.09294285
EO_r_frontal_gamma_mean,-0.782869775,9.993618544
EO_r_frontal_gamma_median,-0.782869775,9.993618544
ratio_r_posterior_beta_mean,-1.95507495,9.965744264
EC_l_frontal_delta_std,-1.513279477,9.860333709
EO_r_central_theta_kurt,-1.139951207,9.805617064
EO_m_central_alpha_kurt,-1.277556975,9.804249309
ratio_m_central_alpha_skew,-1.677174852,9.725027266
EC_r_central_gamma_kurt,-0.749653301,9.694212793
EO_r_central_delta_std,-1.967333461,9.671912176
EO_l_frontal_delta_std,-1.645499459,9.66901724
ratio_l_central_alpha_median,-2.172223585,9.66863402
ratio_l_central_alpha_mean,-1.971093305,9.651772474
EC_m_frontal_beta_std,-1.534886132,9.62093955
ratio_l_posterior_beta_median,-2.233468399,9.577734665
ratio_m_central_beta_mean,-1.94146325,9.49027172
EO_l_central_theta_kurt,-1.14374372,9.396147058
EO_m_central_theta_kurt,-1.162943731,9.356943216
EC_l_posterior_gamma_kurt,-0.812869996,9.341257927
EO_r_frontal_delta_std,-1.710580054,9.319313172
EC_r_frontal_gamma_kurt,-0.784183319,9.247282738
EO_r_central_beta_kurt,-1.079227345,9.189845884
EC_l_posterior_beta_kurt,-1.226064665,9.121135084
EO_r_posterior_beta_kurt,-1.156326438,9.08555881
EO_l_posterior_theta_kurt,-1.153156484,9.066174117
EO_r_frontal_theta_kurt,-1.085518031,9.041168815
EC_m_posterior_gamma_kurt,-0.771516574,8.964635046
EO_m_posterior_theta_kurt,-1.124916162,8.814000149
ratio_r_central_theta_skew,-1.611475398,8.813198451
EO_l_frontal_theta_kurt,-1.062065831,8.708883062
EO_m_frontal_alpha_std,-1.46431288,8.627546289
EO_r_frontal_alpha_std,-1.471023225,8.582731214
EC_r_frontal_theta_kurt,-1.145983233,8.527091115
EC_l_posterior_delta_kurt,-1.238192024,8.513429517
EO_m_frontal_theta_kurt,-1.073139755,8.467809648
EC_l_central_gamma_kurt,-0.822951274,8.463095397
EC_m_central_gamma_kurt,-0.799503969,8.440999619
EC_l_frontal_alpha_kurt,-1.175750426,8.405543855
EC_r_posterior_gamma_kurt,-0.770264139,8.374962814
EO_r_posterior_theta_kurt,-1.173792409,8.341323099
EO_l_central_gamma_kurt,-0.800107261,8.271807958
EO_m_posterior_gamma_kurt,-0.8691825,8.264432964
EC_m_posterior_delta_kurt,-1.261577122,8.259373435
ratio_m_central_delta_skew,-1.372319459,8.226782011
EO_l_frontal_gamma_kurt,-0.77776392,8.20248131
EO_l_posterior_gamma_kurt,-0.859652056,8.166968653
EO_m_posterior_gamma_mean,-0.819250516,8.150212469
EO_m_posterior_gamma_median,-0.819250516,8.150212469
EC_m_frontal_gamma_kurt,-0.771777771,8.141190802
ratio_r_central_delta_skew,-1.448638593,8.127135381
EC_m_posterior_beta_kurt,-1.170485504,8.105209104
ratio_m_frontal_delta_skew,-1.469498462,8.100518622
ratio_r_frontal_delta_skew,-1.424444982,8.057831396
EO_r_frontal_gamma_kurt,-0.853004414,8.055028106
EC_l_frontal_gamma_kurt,-0.823107468,7.989844553
ratio_m_posterior_delta_skew,-1.433476952,7.962984707
ratio_r_posterior_delta_median,-1.951789745,7.925599427
EO_m_central_delta_kurt,-1.261206181,7.92146333
EO_l_posterior_alpha_std,-1.395965777,7.892476033
ratio_l_central_delta_skew,-1.455385998,7.886679148
EO_r_posterior_gamma_mean,-0.807130867,7.88210069
EO_r_posterior_gamma_median,-0.807130867,7.88210069
EO_r_posterior_gamma_kurt,-0.817155322,7.845772895
ratio_r_posterior_delta_skew,-1.273243514,7.716894106
EO_r_central_delta_kurt,-1.234810281,7.707780681
ratio_l_frontal_delta_skew,-1.416940868,7.670986362
EC_r_central_beta_std,-1.639841168,7.664841175
EO_m_frontal_gamma_kurt,-0.811418781,7.635273682
EO_r_central_gamma_kurt,-0.790438493,7.571233037
EC_m_posterior_beta_std,-1.602816279,7.56871133
EO_l_posterior_delta_kurt,-1.239279248,7.495149098
ratio_l_posterior_delta_skew,-1.364754759,7.413194773
EO_r_posterior_delta_kurt,-1.264795317,7.383609761
EC_m_central_theta_kurt,-1.159553068,7.358798693
EC_m_central_delta_kurt,-1.230115615,7.334411323
EO_l_central_delta_kurt,-1.205569251,7.301326842
EC_m_central_beta_kurt,-1.150522756,7.231790383
EC_l_central_beta_kurt,-1.110817826,7.165384085
EC_r_posterior_beta_kurt,-1.194773883,7.148642302
EO_m_frontal_delta_kurt,-1.195583664,7.123370936
EO_r_posterior_alpha_std,-1.352716892,7.095700446
EO_m_posterior_alpha_std,-1.325700079,7.093653022
