epoch,step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,val_f1,val_loss
0,7,,,,,0.08473663032054901,1.610112190246582
0,7,0.20046386122703552,,1.6275194883346558,,,
1,15,,,,,0.08996516466140747,1.6100348234176636
1,15,0.18455812335014343,,1.6351869106292725,,,
2,23,,,,,0.14296215772628784,1.6089413166046143
2,23,0.18241335451602936,,1.631591796875,,,
3,31,,,,,0.16649119555950165,1.6076117753982544
3,31,0.18123559653759003,,1.6304333209991455,,,
4,39,,,,,0.1816665530204773,1.6073960065841675
4,39,0.18760526180267334,,1.6248124837875366,,,
5,47,,,,,0.20166093111038208,1.6076699495315552
5,47,0.19679147005081177,,1.6189844608306885,,,
6,49,,0.1635100394487381,,1.6233317852020264,,
6,55,,,,,0.19181716442108154,1.6075905561447144
6,55,0.1798909455537796,,1.6266472339630127,,,
7,63,,,,,0.19545114040374756,1.6073145866394043
7,63,0.2037741243839264,,1.6149423122406006,,,
8,71,,,,,0.19734406471252441,1.6074360609054565
8,71,0.1844981610774994,,1.622319221496582,,,
9,79,,,,,0.19465941190719604,1.6072659492492676
9,79,0.20015612244606018,,1.6185402870178223,,,
10,87,,,,,0.19000408053398132,1.6074572801589966
10,87,0.22070243954658508,,1.6125261783599854,,,
11,95,,,,,0.18340753018856049,1.6070764064788818
11,95,0.2122778743505478,,1.6179901361465454,,,
12,99,,0.18106800317764282,,1.6296297311782837,,
12,103,,,,,0.1810046136379242,1.607084035873413
12,103,0.20700351893901825,,1.619309425354004,,,
13,111,,,,,0.17808157205581665,1.6070226430892944
13,111,0.20786023139953613,,1.6125248670578003,,,
14,119,,,,,0.1888025552034378,1.60677170753479
14,119,0.20720885694026947,,1.6125823259353638,,,
15,127,,,,,0.18115097284317017,1.6064709424972534
15,127,0.19822944700717926,,1.6085256338119507,,,
16,135,,,,,0.1875331699848175,1.606192708015442
16,135,0.2027214765548706,,1.610715389251709,,,
17,143,,,,,0.1836959272623062,1.6056056022644043
17,143,0.193571999669075,,1.6104005575180054,,,
18,149,,0.2211933732032776,,1.6166949272155762,,
18,151,,,,,0.17984740436077118,1.6049551963806152
18,151,0.22360911965370178,,1.6147412061691284,,,
19,159,,,,,0.17478027939796448,1.6046184301376343
19,159,0.21444691717624664,,1.609203815460205,,,
20,167,,,,,0.1680614948272705,1.603789210319519
20,167,0.21687565743923187,,1.606570839881897,,,
21,175,,,,,0.16261248290538788,1.6033284664154053
21,175,0.21078333258628845,,1.6099594831466675,,,
22,183,,,,,0.16021886467933655,1.6025373935699463
22,183,0.1973421424627304,,1.6072843074798584,,,
23,191,,,,,0.1635110229253769,1.6015294790267944
23,191,0.19465382397174835,,1.6091915369033813,,,
24,199,,0.2170763909816742,,1.6023346185684204,,
24,199,,,,,0.16011852025985718,1.6011450290679932
24,199,0.20252831280231476,,1.612135410308838,,,
25,207,,,,,0.1583201140165329,1.6011706590652466
25,207,0.21236777305603027,,1.6098506450653076,,,
26,215,,,,,0.16142532229423523,1.600653052330017
26,215,0.1940971463918686,,1.6083428859710693,,,
27,223,,,,,0.16013440489768982,1.6006507873535156
27,223,0.21349146962165833,,1.6079624891281128,,,
28,231,,,,,0.1608819216489792,1.5997729301452637
28,231,0.2098592072725296,,1.601806640625,,,
29,239,,,,,0.16370061039924622,1.5990710258483887
29,239,0.21447400748729706,,1.603482723236084,,,
30,247,,,,,0.16218437254428864,1.5986638069152832
30,247,0.19736641645431519,,1.6073352098464966,,,
31,249,,0.2444017082452774,,1.5970988273620605,,
31,255,,,,,0.1654691845178604,1.5982125997543335
31,255,0.20752131938934326,,1.60392427444458,,,
32,263,,,,,0.16788612306118011,1.597647786140442
32,263,0.2160363644361496,,1.602850079536438,,,
33,271,,,,,0.17106741666793823,1.5971225500106812
33,271,0.21371795237064362,,1.6066782474517822,,,
34,279,,,,,0.1739225536584854,1.5964850187301636
34,279,0.20721487700939178,,1.6089599132537842,,,
35,287,,,,,0.1705259382724762,1.5955759286880493
35,287,0.19888417422771454,,1.6045502424240112,,,
36,295,,,,,0.172096848487854,1.5952355861663818
36,295,0.2110954374074936,,1.6037070751190186,,,
37,299,,0.2108955979347229,,1.596220850944519,,
37,303,,,,,0.17203590273857117,1.5944913625717163
37,303,0.22840604186058044,,1.602028727531433,,,
38,311,,,,,0.17659616470336914,1.5942028760910034
38,311,0.22458522021770477,,1.5992597341537476,,,
39,319,,,,,0.17565642297267914,1.5933364629745483
39,319,0.22473497688770294,,1.5972565412521362,,,
40,327,,,,,0.17820075154304504,1.593026876449585
40,327,0.20585836470127106,,1.6024127006530762,,,
41,335,,,,,0.18965083360671997,1.592187523841858
41,335,0.22267240285873413,,1.5924071073532104,,,
42,343,,,,,0.1911390721797943,1.5914225578308105
42,343,0.22205357253551483,,1.594311237335205,,,
43,349,,0.18699224293231964,,1.6307486295700073,,
43,351,,,,,0.19243671000003815,1.5904934406280518
43,351,0.22028282284736633,,1.6039354801177979,,,
44,359,,,,,0.1959325671195984,1.589740514755249
44,359,0.23322606086730957,,1.595229983329773,,,
45,367,,,,,0.19782133400440216,1.5886211395263672
45,367,0.21163628995418549,,1.5961792469024658,,,
46,375,,,,,0.19631078839302063,1.5877783298492432
46,375,0.22200827300548553,,1.5990022420883179,,,
47,383,,,,,0.19910794496536255,1.5866755247116089
47,383,0.22773544490337372,,1.5935825109481812,,,
48,391,,,,,0.19517703354358673,1.585758924484253
48,391,0.1910797357559204,,1.601136565208435,,,
49,399,,0.23705220222473145,,1.5974103212356567,,
49,399,,,,,0.2001693844795227,1.5845669507980347
